case	tumor	compartment	mutation	total_mut	size
P1	FL	A_Random	180	6075	80368995
P2	FL	A_Random	121	4775	80368995
P4	FL	A_Random	7	148	80368995
P5	FL	A_Random	79	1925	80368995
P6	FL	A_Random	117	4244	80368995
P7	FL	A_Random	108	4632	80368995
P8	FL	A_Random	64	2536	80368995
P8.b	FL	A_Random	330	13292	80368995
P9	FL	A_Random	17	512	80368995
P1	FL	B_H3K27ac	174	6075	85018670
P2	FL	B_H3K27ac	178	4775	85018670
P4	FL	B_H3K27ac	4	148	85018670
P5	FL	B_H3K27ac	350	1925	85018670
P6	FL	B_H3K27ac	141	4244	85018670
P7	FL	B_H3K27ac	73	4632	85018670
P8	FL	B_H3K27ac	70	2536	85018670
P8.b	FL	B_H3K27ac	572	13292	85018670
P9	FL	B_H3K27ac	14	512	85018670
P1	FL	C_H3K4me3	102	6075	51323255
P2	FL	C_H3K4me3	106	4775	51323255
P4	FL	C_H3K4me3	3	148	51323255
P5	FL	C_H3K4me3	301	1925	51323255
P6	FL	C_H3K4me3	99	4244	51323255
P7	FL	C_H3K4me3	28	4632	51323255
P8	FL	C_H3K4me3	37	2536	51323255
P8.b	FL	C_H3K4me3	379	13292	51323255
P9	FL	C_H3K4me3	12	512	51323255
P1	FL	D_H3K4me1	151	6075	104797627
P2	FL	D_H3K4me1	223	4775	104797627
P4	FL	D_H3K4me1	4	148	104797627
P5	FL	D_H3K4me1	246	1925	104797627
P6	FL	D_H3K4me1	137	4244	104797627
P7	FL	D_H3K4me1	62	4632	104797627
P8	FL	D_H3K4me1	84	2536	104797627
P8.b	FL	D_H3K4me1	585	13292	104797627
P9	FL	D_H3K4me1	15	512	104797627
P1	FL	E_Random	61	6075	29617861
P2	FL	E_Random	41	4775	29617861
P4	FL	E_Random	4	148	29617861
P5	FL	E_Random	14	1925	29617861
P6	FL	E_Random	40	4244	29617861
P7	FL	E_Random	49	4632	29617861
P8	FL	E_Random	28	2536	29617861
P8.b	FL	E_Random	145	13292	29617861
P9	FL	E_Random	4	512	29617861
P1	FL	F_Only_27ac	92	6075	52134387
P2	FL	F_Only_27ac	106	4775	52134387
P4	FL	F_Only_27ac	1	148	52134387
P5	FL	F_Only_27ac	60	1925	52134387
P6	FL	F_Only_27ac	61	4244	52134387
P7	FL	F_Only_27ac	53	4632	52134387
P8	FL	F_Only_27ac	36	2536	52134387
P8.b	FL	F_Only_27ac	255	13292	52134387
P9	FL	F_Only_27ac	4	512	52134387
P1	FL	G_Only_4me3	20	6075	18438972
P2	FL	G_Only_4me3	34	4775	18438972
P4	FL	G_Only_4me3	0	148	18438972
P5	FL	G_Only_4me3	11	1925	18438972
P6	FL	G_Only_4me3	19	4244	18438972
P7	FL	G_Only_4me3	8	4632	18438972
P8	FL	G_Only_4me3	3	2536	18438972
P8.b	FL	G_Only_4me3	62	13292	18438972
P9	FL	G_Only_4me3	2	512	18438972
P1	FL	H_Intersection_4me3_and_27ac	59	6075	18336215
P2	FL	H_Intersection_4me3_and_27ac	39	4775	18336215
P4	FL	H_Intersection_4me3_and_27ac	5	148	18336215
P5	FL	H_Intersection_4me3_and_27ac	188	1925	18336215
P6	FL	H_Intersection_4me3_and_27ac	53	4244	18336215
P7	FL	H_Intersection_4me3_and_27ac	15	4632	18336215
P8	FL	H_Intersection_4me3_and_27ac	12	2536	18336215
P8.b	FL	H_Intersection_4me3_and_27ac	188	13292	18336215
P9	FL	H_Intersection_4me3_and_27ac	8	512	18336215
P1	DHL	A_Random	77	1810	80368995
P2	DHL	A_Random	68	2357	80368995
P4	DHL	A_Random	34	1241	80368995
P5	DHL	A_Random	71	2216	80368995
P6	DHL	A_Random	254	9263	80368995
